id,text,user,user_followers,favorite_count,retweet_count,location,datetime
1534777890516389889,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",Sukanya63993519,20,0,234,Thailand,2022-06-09 06:02:18+00:00
1534777687322918912,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",Myallaround,146,0,234,,2022-06-09 06:01:30+00:00
1534777185655201792,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",fon_Andromeda,252,0,234,,2022-06-09 05:59:30+00:00
1534777096865624064,I ❤️ u Brunei 🤗,LinLinPartyBebe,76,0,0,Malaysia,2022-06-09 05:59:09+00:00
1534776940611002369,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",Jaampkanor2,1614,0,234,,2022-06-09 05:58:32+00:00
1534776479115927552,"RT @BrightTrending: Worldwide Trends &amp; in Other Locations

Hashtag #คืนนับดาวEP3 

No.2 🌏 Worldwide 
No.1 Thailand 
No.1 Macao
No.2 Laos 
N…",janexbw,388,0,665,BW lowkey 🌚🌝,2022-06-09 05:56:42+00:00
1534776444085481472,"UN Global Compact Network Malaysia &amp; Brunei in partnership with Taylors University during this event.

Our Leaders… https://t.co/ETEoEccBwm",UNGCMYB,470,0,0,Kuala Lumpur City,2022-06-09 05:56:33+00:00
1534776439639519233,"Head, SME Academy, Center for Entrepreneur Development and Research (CEDAR), Azzahraa Annuar, Director of Group Ris… https://t.co/GbKrpHssWz",UNGCMYB,470,0,0,Kuala Lumpur City,2022-06-09 05:56:32+00:00
1534776274987601921,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",Phiophobiavc,213,0,234,(12/04/63•bbrightvc)•คั่นกูซู,2022-06-09 05:55:53+00:00
1534776000063582208,"RT @asianscientist: 💡This morning started off with powerful messages from @ElsFoundation Director @YlannSchemm and keynote speaker, Her Exc…",julianachanphd,51,0,1,Singapore,2022-06-09 05:54:47+00:00
1534775959127494656,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",Binmyheart999,8256,0,234,,2022-06-09 05:54:38+00:00
1534775701106135041,"@joulejulies if your country claims to be smart in terms of education, surely your country will take the same attit… https://t.co/0y4cIK7ylD",mareenz_,1,0,0,"Jawa Barat, Indonesia",2022-06-09 05:53:36+00:00
1534775167754248192,"RT @bongbongmarcos: Today, we received Ambassador Johariah Wahab of Brunei Darussalam and had a meaningful dialogue on labour, education, h…",Maria398212,29,0,626,,2022-06-09 05:51:29+00:00
1534774478965977089,"RT @UBDVTLab: Dayak roundleaf bats (Hipposideros dyacorum) in Tutong District, #Brunei. Video: Cara Webster. #Borneo #wildlife #bats https:…",bigbrownbatmaro,305,0,5,"Providence, RI",2022-06-09 05:48:45+00:00
1534774085594456065,RT @MiraZarifah: being short is a curse but thank god im in brunei,fqahqah,244,0,50,Brunei Darussalam,2022-06-09 05:47:11+00:00
1534773649961807873,"RT @Mette_Miracle: No.6 Brunei Trends 
Bright Vachirawit
#คืนนับดาวEP3 
#bbrightvc
@bbrightvc 
@DavikaH https://t.co/Ikp8IwSsSP",lita_samantha,34,0,86,,2022-06-09 05:45:27+00:00
1534772995134148608,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",Lysm_b_lism,258,0,234,"Bangkok, Thailand",2022-06-09 05:42:51+00:00
1534772720944451584,"💡This morning started off with powerful messages from @ElsFoundation Director @YlannSchemm and keynote speaker, Her… https://t.co/2D5FXuDC3m",asianscientist,4591,4,1,Singapore,2022-06-09 05:41:46+00:00
1534772462155550720,RT @milkteus: sehun and his cutie agenda ૮꒰ ˶&gt; ༝ &lt;˶꒱ა https://t.co/S2Glo36WSM,EXOL_Brunei,257,0,891,,2022-06-09 05:40:44+00:00
1534772381415116801,"RT @itsteolaegi: Baekhyun has officially completed 400 days of service, only 241 days to go!

엑소 백현 #BAEKHYUN #백현 #ベクヒョン 
@B_hundred_Hyun h…",EXOL_Brunei,257,0,461,,2022-06-09 05:40:25+00:00
1534772369008447488,"RT @xunhuas: EXO’s (Minseok, Junmyeon, Kyungsoo, Jongin and Sehun) 10th Anniversary AR Photocards from their 2022 Debut Anniversary Fan Eve…",EXOL_Brunei,257,0,1324,,2022-06-09 05:40:22+00:00
1534771256876204032,"Just posted a photo @ Bandar Seri Begawan, Brunei https://t.co/AH6A3qkKBI",rainbow_divine,24,0,0,,2022-06-09 05:35:56+00:00
1534770825202929664,"RT @DVB_English: US State Department Counselor Derek Chollet has urged ASEAN states to openly engage with the NUG, the Singapore based Stra…",fieldoftrees,124,0,11,,2022-06-09 05:34:14+00:00
1534770692918456320,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",brights_b,107,0,234,,2022-06-09 05:33:42+00:00
1534770133314711552,"@IndusLaw, @cyrilamarchand Act On the Series E #fundraise of @Kissht_EMI  Led By @VertexGrowth and @brunei_agency… https://t.co/lGAGGEqfpu",LegalBW,469,0,0,"Gurgaon, India",2022-06-09 05:31:29+00:00
